Year,Année,ISO,Jurisdiction,Juridiction,Fire size class,"Classe de superficie à l'extinction",Area (hectares),Data Qualifier,Superficie (en hectare),Qualificatifs de données
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10.1 - 100 ha,"10,1 - 100 ha",371.4,a,371.4,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,100.1 - 1 000 ha,"100,1 - 1 000 ha",3923,a,3923,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1000.1 - 10 000 ha,1000.1 - 10 000 ha,52029,a,52029,a
1991,1991,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Up to 0.1 ha,"Jusqu'à 0,1 ha",1.3,a,1.3,a
1991,1991,NS,Nova Scotia,Nouvelle-Ecosse,0.11 - 1.0 ha,"0,11 - 1 ha",124.53,a,124.53,a
1991,1991,NS,Nova Scotia,Nouvelle-Ecosse,1.1 - 10 ha,"1,1 - 10 ha",319.27,a,319.27,a
1991,1991,NS,Nova Scotia,Nouvelle-Ecosse,10.1 - 100 ha,"10,1 - 100 ha",634.38,a,634.38,a
1991,1991,NS,Nova Scotia,Nouvelle-Ecosse,100.1 - 1 000 ha,"100,1 - 1 000 ha",683.4,a,683.4,a
1991,1991,NS,Nova Scotia,Nouvelle-Ecosse,Up to 0.1 ha,"Jusqu'à 0,1 ha",14.1699999999999,a,14.1699999999999,a
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,0.11 - 1.0 ha,"0,11 - 1 ha",48.38,a,48.38,a
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,1.1 - 10 ha,"1,1 - 10 ha",328.8,a,328.8,a
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,10 000.1 - 100 000 ha,"10 000,1 - 100 000 ha",158097,a,158097,a
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,10.1 - 100 ha,"10,1 - 100 ha",1777.5,a,1777.5,a
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,100.1 - 1 000 ha,"100,1 - 1 000 ha",11074.66,a,11074.66,a
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,1000.1 - 10 000 ha,1000.1 - 10 000 ha,54136,a,54136,a
1991,1991,NT,Northwest Territories,Territoires du Nord-Ouest,Up to 0.1 ha,"Jusqu'à 0,1 ha",4.08,a,4.08,a
1991,1991,ON,Ontario,Ontario,0.11 - 1.0 ha,"0,11 - 1 ha",479.800005273015,a,479.800005273015,a
1991,1991,ON,Ontario,Ontario,1.1 - 10 ha,"1,1 - 10 ha",1065.200001008,a,1065.200001008,a
1991,1991,ON,Ontario,Ontario,10 000.1 - 100 000 ha,"10 000,1 - 100 000 ha",206257,a,206257,a
1991,1991,ON,Ontario,Ontario,10.1 - 100 ha,"10,1 - 100 ha",2733.10000019,a,2733.10000019,a
